join_key,yr_pis,new_li_units,n_projects,cum_li_units,State,year,zhvi_value
01001,2000,28.0,1,75.0,AL,2000,122006.91930561276
01001,2003,80.0,1,155.0,AL,2003,132888.04138629648
01001,2009,152.0,2,307.0,AL,2009,160543.68587849088
01003,2000,40.0,1,325.0,AL,2000,133831.96720527238
01003,2001,117.0,2,442.0,AL,2001,141370.63064875043
01003,2002,68.0,1,510.0,AL,2002,145925.40309542857
01003,2005,104.0,1,614.0,AL,2005,180008.41875883375
01003,2006,308.0,5,922.0,AL,2006,210511.99534215152
01003,2007,266.0,4,1188.0,AL,2007,222938.7713063856
01003,2008,366.0,4,1554.0,AL,2008,214408.61020547897
01003,2011,56.0,1,1610.0,AL,2011,164458.55897341875
01003,2016,40.0,1,1650.0,AL,2016,204614.6702893996
01003,2017,72.0,1,1722.0,AL,2017,213099.0362897724
01009,2003,40.0,1,168.0,AL,2003,97108.61802402552
01009,2004,40.0,1,208.0,AL,2004,101357.27729774825
01009,2006,32.0,1,240.0,AL,2006,116626.93564921276
01009,2016,40.0,1,280.0,AL,2016,143141.95188220855
01017,2011,48.0,1,78.0,AL,2011,78795.25856784069
01017,2020,56.0,1,134.0,AL,2020,108038.83016410084
01017,2021,56.0,1,190.0,AL,2021,124951.61047006596
01019,2012,40.0,1,245.0,AL,2012,109877.71996147919
01021,2016,56.0,1,193.0,AL,2016,125420.38375007473
01025,2023,48.0,1,632.0,AL,2023,151813.19556508915
01029,2005,32.0,1,80.0,AL,2005,106017.85193415529
01033,2020,56.0,1,337.0,AL,2020,129600.73256001687
01039,2016,56.0,1,149.0,AL,2016,101956.78193427065
01039,2019,49.0,1,198.0,AL,2019,107542.3311606468
01043,2003,34.0,1,166.0,AL,2003,107097.82638329541
01043,2007,56.0,1,222.0,AL,2007,133226.41233064551
01043,2021,56.0,1,278.0,AL,2021,202885.58241561367
01045,2005,56.0,1,98.0,AL,2005,85575.00768521034
01045,2009,40.0,1,138.0,AL,2009,99797.4388728058
01045,2013,56.0,1,194.0,AL,2013,99523.38161448616
01045,2019,48.0,1,242.0,AL,2019,109368.68331318187
01047,2002,40.0,1,204.0,AL,2002,60313.5435858313
01047,2004,56.0,1,260.0,AL,2004,64147.87838914498
01047,2005,112.0,2,372.0,AL,2005,67833.18158922598
01047,2008,120.0,1,492.0,AL,2008,79544.36133938121
01047,2013,56.0,1,548.0,AL,2013,74855.26226034944
01047,2020,56.0,1,604.0,AL,2020,86965.36954491129
01047,2022,52.0,1,656.0,AL,2022,92427.04243986176
01049,2000,32.0,1,152.0,AL,2000,75732.74002458248
01049,2004,40.0,1,192.0,AL,2004,87814.05349327262
01049,2009,56.0,1,248.0,AL,2009,106192.4641310242
01051,2010,56.0,1,427.0,AL,2010,165447.88673140827
01051,2021,56.0,1,483.0,AL,2021,207347.05798713656
01053,2021,50.0,1,344.0,AL,2021,123083.08782882676
01055,2004,40.0,1,372.0,AL,2004,74197.46957456967
01055,2006,36.0,1,408.0,AL,2006,85495.61184068525
01055,2009,40.0,1,448.0,AL,2009,92673.40250295865
01055,2022,56.0,1,504.0,AL,2022,161428.50836955706
01063,2021,47.0,1,159.0,AL,2021,134445.20767597505
01063,2023,58.0,1,217.0,AL,2023,133380.13590167076
01065,2011,47.0,1,183.0,AL,2011,96480.04631498888
01069,2010,72.0,1,358.0,AL,2010,120329.4432454753
01071,2015,24.0,1,292.0,AL,2015,105120.99251676064
01073,2001,54.0,1,899.0,AL,2001,101861.3210577254
01073,2002,189.0,3,1088.0,AL,2002,104232.13623778567
01073,2003,97.0,1,1185.0,AL,2003,108436.76089675321
01073,2004,399.0,3,1584.0,AL,2004,113822.04480236657
