join_key,yr_pis,new_li_units,n_projects,cum_li_units,State,year,zori_value
01003,2016,40.0,1,1650.0,AL,2016,1053.6092871910018
01003,2017,72.0,1,1722.0,AL,2017,1091.924275390354
01073,2016,56.0,1,3280.0,AL,2016,886.3938867095945
01073,2017,111.0,1,3391.0,AL,2017,904.59826064231
01081,2016,56.0,1,705.0,AL,2016,923.5236570672777
01081,2017,56.0,1,761.0,AL,2017,953.5767718705791
01089,2017,60.0,1,1781.0,AL,2017,797.4933837227942
01089,2019,80.0,1,1861.0,AL,2019,908.9142160226453
01089,2022,56.0,1,1917.0,AL,2022,1285.6510413866324
01097,2015,48.0,1,3059.0,AL,2015,716.3700599771756
01097,2016,70.0,1,3129.0,AL,2016,738.5919825971106
01097,2018,223.0,1,3352.0,AL,2018,785.7231616570074
01097,2023,56.0,1,3408.0,AL,2023,1151.4518381247065
01101,2015,96.0,1,2471.0,AL,2015,860.8110349024669
01101,2016,129.0,1,2600.0,AL,2016,864.3732107773621
01101,2018,98.0,1,2698.0,AL,2018,893.6502317647088
01101,2019,72.0,1,2770.0,AL,2019,911.3506549866966
01103,2022,54.0,1,764.0,AL,2022,936.7277076699635
01115,2021,48.0,1,436.0,AL,2021,1379.025269916771
01117,2016,30.0,1,331.0,AL,2016,1114.4960425844806
01125,2017,80.0,1,1719.0,AL,2017,1002.6081284452999
02020,2015,241.0,6,2308.0,AK,2015,1216.0445554466085
02020,2016,110.0,3,2418.0,AK,2016,1200.697363257738
02020,2017,48.0,2,2466.0,AK,2017,1183.1230165494055
02020,2018,162.0,5,2628.0,AK,2018,1191.6974136919964
02020,2019,38.0,1,2666.0,AK,2019,1206.1231501849693
02020,2020,227.0,4,2893.0,AK,2020,1233.3951892782377
02020,2021,295.0,5,3188.0,AK,2021,1295.4773124784772
02020,2022,48.0,1,3236.0,AK,2022,1422.5180397027468
02020,2023,30.0,1,3266.0,AK,2023,1523.7906477226943
04003,2022,60.0,1,979.0,AZ,2022,1188.1275033909003
04003,2024,64.0,1,1043.0,AZ,2024,1301.0819281315673
04005,2023,68.0,1,1029.0,AZ,2023,2116.990019469515
04013,2015,436.0,5,14260.0,AZ,2015,945.9594918275094
04013,2016,1136.0,12,15396.0,AZ,2016,996.4975850733873
04013,2017,759.0,9,16155.0,AZ,2017,1056.4316085429884
04013,2018,517.0,6,16672.0,AZ,2018,1130.4099791415065
04013,2019,1164.0,10,17836.0,AZ,2019,1220.5793562018073
04013,2020,506.0,7,18342.0,AZ,2020,1309.231808675455
04013,2021,1363.0,12,19705.0,AZ,2021,1540.9641506723935
04013,2022,122.0,2,19827.0,AZ,2022,1727.4451913932207
04013,2023,1326.0,13,21153.0,AZ,2023,1730.423617836929
04013,2024,1422.0,8,22575.0,AZ,2024,1734.2534485109818
04015,2016,56.0,1,1128.0,AZ,2016,791.4050491331847
04015,2017,57.0,1,1185.0,AZ,2017,842.0006301099762
04015,2020,48.0,1,1233.0,AZ,2020,1049.5899923634022
04019,2015,330.0,5,3167.0,AZ,2015,808.1348068127987
04019,2016,44.0,1,3211.0,AZ,2016,831.5871902588821
04019,2017,265.0,4,3476.0,AZ,2017,873.8440495603687
04019,2018,343.0,5,3819.0,AZ,2018,924.4063254979801
04019,2019,349.0,4,4168.0,AZ,2019,987.7519062516384
04019,2020,50.0,1,4218.0,AZ,2020,1050.9031781166093
04019,2021,296.0,4,4514.0,AZ,2021,1206.726171039303
04019,2022,119.0,1,4633.0,AZ,2022,1355.808063857558
04019,2023,253.0,3,4886.0,AZ,2023,1404.385738648724
04019,2024,147.0,2,5033.0,AZ,2024,1436.7336965213763
04021,2016,57.0,1,1005.0,AZ,2016,933.6698934284732
04021,2019,52.0,1,1057.0,AZ,2019,1179.3746945860778
04021,2020,108.0,2,1165.0,AZ,2020,1312.7319499495438
04021,2023,312.0,1,1477.0,AZ,2023,1766.4791786061808
